t,rbank
2020-08-03,0.74%
2020-08-04,2.60%
2020-08-05,-1.26%
2020-08-06,0.86%
2020-08-07,-0.89%
2020-08-10,0.99%
2020-08-11,0.29%
2020-08-12,0.58%
2020-08-13,-0.58%
2020-08-14,1.51%
2020-08-17,2.71%
2020-08-18,-0.94%
2020-08-19,-0.83%
2020-08-20,-1.49%
2020-08-21,0.26%
2020-08-24,-0.61%
2020-08-25,0.22%
2020-08-26,-0.81%
2020-08-27,-0.16%
2020-08-28,2.26%
2020-08-31,-0.77%
2020-09-01,-0.26%
2020-09-02,-0.59%
2020-09-03,-0.47%
2020-09-04,-0.37%
2020-09-07,-0.34%
2020-09-08,1.58%
2020-09-09,-0.56%
2020-09-10,-0.20%
2020-09-11,-0.79%
2020-09-14,0.39%
2020-09-15,0.30%
2020-09-16,0.36%
2020-09-17,-0.30%
2020-09-18,2.03%
2020-09-21,-0.71%
2020-09-22,-1.17%
2020-09-23,-0.50%
2020-09-24,-1.24%
2020-09-25,-0.11%
2020-09-28,0.43%
2020-09-29,-1.24%
2020-09-30,-0.15%
2020-10-09,0.23%
2020-10-12,2.64%
2020-10-13,0.07%
2020-10-14,0.02%
2020-10-15,1.45%
2020-10-16,1.66%
2020-10-19,0.43%
2020-10-20,-0.48%
2020-10-21,1.84%
2020-10-22,-0.22%
2020-10-23,0.65%
2020-10-26,-1.87%
2020-10-27,-0.35%
2020-10-28,-0.94%
2020-10-29,0.05%
2020-10-30,-0.79%
2020-11-02,-0.06%
2020-11-03,1.11%
2020-11-04,1.64%
2020-11-05,-0.44%
2020-11-06,-0.34%
2020-11-09,0.88%
2020-11-10,0.76%
2020-11-11,0.72%
2020-11-12,-1.14%
2020-11-13,-1.93%
2020-11-16,0.47%
2020-11-17,1.28%
2020-11-18,2.22%
2020-11-19,0.71%
2020-11-20,-0.56%
2020-11-23,2.04%
2020-11-24,-0.56%
2020-11-25,-0.85%
2020-11-26,1.42%
2020-11-27,2.27%
2020-11-30,-1.02%
2020-12-01,2.69%
2020-12-02,-0.44%
2020-12-03,-0.29%
2020-12-04,-1.23%
2020-12-07,-2.26%
2020-12-08,-0.61%
2020-12-09,-0.04%
2020-12-10,-0.59%
2020-12-11,-1.22%
2020-12-14,1.31%
2020-12-15,-0.74%
2020-12-16,0.16%
2020-12-17,0.48%
2020-12-18,-1.36%
2020-12-21,-0.37%
2020-12-22,-1.69%
2020-12-23,0.26%
2020-12-24,0.59%
2020-12-25,0.15%
2020-12-28,0.73%
2020-12-29,0.17%
2020-12-30,0.27%
2020-12-31,0.99%
