t,rbank
2016-08-01,0.52%
2016-08-02,-0.27%
2016-08-03,-0.48%
2016-08-04,-0.25%
2016-08-05,0.80%
2016-08-08,0.05%
2016-08-09,0.33%
2016-08-10,0.22%
2016-08-11,1.16%
2016-08-12,2.45%
2016-08-15,2.16%
2016-08-16,-2.00%
2016-08-17,-0.24%
2016-08-18,-0.51%
2016-08-19,0.19%
2016-08-22,-0.04%
2016-08-23,0.26%
2016-08-24,-0.19%
2016-08-25,-0.13%
2016-08-26,-0.11%
2016-08-29,-0.62%
2016-08-30,0.82%
2016-08-31,0.30%
2016-09-01,-0.25%
2016-09-02,0.13%
2016-09-05,0.08%
2016-09-06,-0.52%
2016-09-07,0.17%
2016-09-08,0.03%
2016-09-09,-0.43%
2016-09-12,-1.41%
2016-09-13,0.02%
2016-09-14,-0.92%
2016-09-19,0.61%
2016-09-20,-0.13%
2016-09-21,0.26%
2016-09-22,0.55%
2016-09-23,0.06%
2016-09-26,-0.74%
2016-09-27,0.41%
2016-09-28,-0.51%
2016-09-29,0.39%
2016-09-30,-0.01%
2016-10-10,0.75%
2016-10-11,-0.10%
2016-10-12,-0.41%
2016-10-13,-0.17%
2016-10-14,0.17%
2016-10-17,-0.60%
2016-10-18,0.54%
2016-10-19,-0.09%
2016-10-20,0.20%
2016-10-21,0.46%
2016-10-24,1.09%
2016-10-25,-0.22%
2016-10-26,-0.74%
2016-10-27,-0.20%
2016-10-28,0.48%
2016-10-31,-0.35%
2016-11-01,0.49%
2016-11-02,-0.56%
2016-11-03,0.52%
2016-11-04,-0.13%
2016-11-07,-0.08%
2016-11-08,0.55%
2016-11-09,-0.81%
2016-11-10,0.87%
2016-11-11,0.11%
2016-11-14,0.18%
2016-11-15,0.00%
2016-11-16,-0.05%
2016-11-17,-0.06%
2016-11-18,-0.13%
2016-11-21,0.87%
2016-11-22,0.74%
2016-11-23,1.40%
2016-11-24,-0.21%
2016-11-25,1.45%
2016-11-28,-0.16%
2016-11-29,0.33%
2016-11-30,-0.84%
2016-12-01,0.22%
2016-12-02,-0.11%
2016-12-05,0.30%
2016-12-06,-0.51%
2016-12-07,-0.26%
2016-12-08,1.03%
2016-12-09,1.69%
2016-12-12,0.28%
2016-12-13,-1.42%
2016-12-14,0.37%
2016-12-15,-3.23%
2016-12-16,-0.63%
2016-12-19,-0.47%
2016-12-20,-0.95%
2016-12-21,0.42%
2016-12-22,-0.53%
2016-12-23,-0.47%
2016-12-26,0.31%
2016-12-27,-0.40%
2016-12-28,-0.31%
2016-12-29,-0.08%
2016-12-30,0.65%
2017-01-03,1.09%
2017-01-04,0.20%
2017-01-05,-0.05%
2017-01-06,-0.61%
2017-01-09,0.23%
2017-01-10,-0.09%
2017-01-11,-0.32%
2017-01-12,-0.05%
2017-01-13,0.80%
2017-01-16,1.44%
2017-01-17,-0.46%
2017-01-18,0.63%
2017-01-19,-0.01%
2017-01-20,0.40%
2017-01-23,-0.20%
2017-01-24,0.92%
2017-01-25,-0.03%
2017-01-26,0.56%
2017-02-03,-1.09%
2017-02-06,-0.11%
2017-02-07,-0.15%
2017-02-08,0.09%
2017-02-09,0.21%
