t,rnbank
2017-01-19,-0.28%
2017-01-20,0.72%
2017-01-23,0.08%
2017-01-24,-0.35%
2017-01-25,0.32%
2017-01-26,0.35%
2017-02-03,-1.32%
2017-02-06,0.42%
2017-02-07,-0.25%
2017-02-08,1.03%
2017-02-09,0.08%
2017-02-10,0.35%
2017-02-13,0.56%
2017-02-14,-0.36%
2017-02-15,-0.33%
2017-02-16,0.56%
2017-02-17,0.01%
2017-02-20,1.01%
2017-02-21,0.28%
2017-02-22,-0.21%
2017-02-23,-1.00%
2017-02-24,0.16%
2017-02-27,-0.98%
2017-02-28,0.03%
2017-03-01,-0.10%
2017-03-02,-0.50%
2017-03-03,-0.43%
2017-03-06,0.47%
2017-03-07,0.11%
2017-03-08,-0.40%
2017-03-09,-0.38%
2017-03-10,-0.37%
2017-03-13,0.71%
2017-03-14,-0.16%
2017-03-15,-0.05%
2017-03-16,1.43%
2017-03-17,-1.56%
2017-03-20,-0.40%
2017-03-21,-0.19%
2017-03-22,-1.30%
2017-03-23,0.61%
2017-03-24,0.91%
2017-03-27,-0.02%
2017-03-28,-0.37%
2017-03-29,-0.76%
2017-03-30,-0.18%
2017-03-31,0.27%
2017-04-05,1.18%
2017-04-06,-0.32%
2017-04-07,-0.17%
2017-04-10,-0.69%
2017-04-11,0.02%
2017-04-12,0.27%
2017-04-13,-0.41%
2017-04-14,-0.77%
2017-04-17,0.01%
2017-04-18,-1.40%
2017-04-19,-0.39%
2017-04-20,0.11%
2017-04-21,0.88%
2017-04-24,0.25%
2017-04-25,-0.27%
2017-04-26,1.08%
2017-04-27,0.31%
2017-04-28,0.18%
2017-05-02,-0.78%
2017-05-03,-0.30%
2017-05-04,-0.55%
2017-05-05,-1.36%
2017-05-08,0.38%
2017-05-09,-0.14%
2017-05-10,1.14%
2017-05-11,0.04%
2017-05-12,1.60%
2017-05-15,0.20%
2017-05-16,0.34%
2017-05-17,-0.76%
2017-05-18,-0.66%
2017-05-19,0.12%
2017-05-22,0.95%
2017-05-23,0.56%
2017-05-24,0.01%
2017-05-25,4.10%
2017-05-26,-0.25%
2017-05-31,0.44%
2017-06-01,0.43%
2017-06-02,-1.23%
2017-06-05,-0.59%
2017-06-06,1.09%
2017-06-07,0.71%
2017-06-08,1.25%
2017-06-09,0.28%
2017-06-12,-0.06%
2017-06-13,-0.12%
2017-06-14,-1.14%
2017-06-15,-0.13%
2017-06-16,0.07%
2017-06-19,2.46%
2017-06-20,-0.49%
2017-06-21,0.98%
2017-06-22,0.23%
2017-06-23,0.34%
2017-06-26,0.98%
2017-06-27,-0.13%
2017-06-28,-1.25%
2017-06-29,0.97%
2017-06-30,-0.22%
2017-07-03,-0.86%
2017-07-04,-1.09%
2017-07-05,2.38%
2017-07-06,0.59%
2017-07-07,0.43%
2017-07-10,0.47%
2017-07-11,0.43%
2017-07-12,-0.91%
2017-07-13,2.10%
2017-07-14,0.70%
2017-07-17,-0.70%
2017-07-18,-0.46%
2017-07-19,3.45%
2017-07-20,-0.15%
2017-07-21,-1.99%
2017-07-24,0.36%
2017-07-25,-0.82%
2017-07-26,0.00%
2017-07-27,0.50%
2017-07-28,-0.83%
2017-07-31,0.44%
2017-08-01,2.84%
2017-08-02,-0.07%
2017-08-03,-1.35%
2017-08-04,-0.66%
2017-08-07,-0.33%
2017-08-08,0.34%
2017-08-09,-1.15%
2017-08-10,-0.77%
2017-08-11,-2.36%
2017-08-14,1.66%
2017-08-15,0.18%
2017-08-16,0.05%
2017-08-17,0.34%
2017-08-18,0.57%
2017-08-21,0.17%
2017-08-22,1.40%
2017-08-23,0.74%
2017-08-24,-1.11%
2017-08-25,2.46%
2017-08-28,3.65%
2017-08-29,-0.14%
2017-08-30,-0.44%
2017-08-31,0.32%
2017-09-01,0.30%
2017-09-04,-0.86%
2017-09-05,0.82%
2017-09-06,-0.90%
2017-09-07,-1.04%
2017-09-08,-0.23%
2017-09-11,-0.82%
2017-09-12,1.20%
2017-09-13,-0.17%
2017-09-14,-0.96%
2017-09-15,-0.20%
2017-09-18,0.55%
2017-09-19,-0.69%
2017-09-20,-0.31%
2017-09-21,0.44%
2017-09-22,0.19%
2017-09-25,-0.09%
2017-09-26,-0.06%
2017-09-27,-0.80%
2017-09-28,-0.09%
2017-09-29,0.86%
2017-10-09,0.32%
2017-10-10,-0.07%
2017-10-11,0.11%
2017-10-12,0.96%
2017-10-13,0.07%
2017-10-16,-0.04%
2017-10-17,0.11%
2017-10-18,0.87%
2017-10-19,-0.70%
2017-10-20,-0.61%
2017-10-23,0.29%
2017-10-24,1.00%
2017-10-25,-0.03%
2017-10-26,0.98%
2017-10-27,1.04%
2017-10-30,-0.70%
2017-10-31,-0.12%
2017-11-01,-0.22%
2017-11-02,0.33%
2017-11-03,0.14%
2017-11-06,-0.69%
2017-11-07,1.76%
2017-11-08,0.14%
2017-11-09,1.03%
2017-11-10,2.51%
2017-11-13,-0.12%
2017-11-14,-0.28%
2017-11-15,-1.09%
2017-11-16,1.66%
2017-11-17,2.20%
2017-11-20,-0.67%
2017-11-21,3.30%
2017-11-22,-0.76%
2017-11-23,-3.16%
2017-11-24,0.14%
2017-11-27,-0.58%
2017-11-28,-0.67%
2017-11-29,-0.41%
2017-11-30,-1.75%
2017-12-01,-1.34%
2017-12-04,0.70%
2017-12-05,1.83%
2017-12-06,-1.23%
2017-12-07,-1.34%
2017-12-08,1.56%
2017-12-11,1.36%
2017-12-12,-2.40%
2017-12-13,0.52%
2017-12-14,-1.64%
2017-12-15,-0.72%
2017-12-18,-0.05%
2017-12-19,2.35%
2017-12-20,-0.37%
2017-12-21,0.82%
2017-12-22,-1.00%
2017-12-25,-0.82%
2017-12-26,0.50%
2017-12-27,-2.95%
2017-12-28,0.46%
2017-12-29,-0.39%
2018-01-02,2.23%
2018-01-03,-0.49%
2018-01-04,-0.23%
2018-01-05,-0.10%
2018-01-08,0.37%
2018-01-09,0.76%
2018-01-10,-0.33%
2018-01-11,0.37%
