t,rnbank
2020-08-06,2.19%
2020-08-07,-2.58%
2020-08-10,1.21%
2020-08-11,-2.36%
2020-08-12,-0.25%
2020-08-13,-0.04%
2020-08-14,2.08%
2020-08-17,4.49%
2020-08-18,-0.62%
2020-08-19,-2.32%
2020-08-20,-1.47%
2020-08-21,1.11%
2020-08-24,-0.63%
2020-08-25,0.09%
2020-08-26,-2.23%
2020-08-27,0.45%
2020-08-28,2.62%
2020-08-31,-1.17%
2020-09-01,0.41%
2020-09-02,-0.26%
2020-09-03,-0.84%
2020-09-04,-1.05%
2020-09-07,-2.07%
2020-09-08,2.38%
2020-09-09,-1.87%
2020-09-10,-0.95%
2020-09-11,0.45%
2020-09-14,0.54%
2020-09-15,0.70%
2020-09-16,-0.96%
2020-09-17,-0.41%
2020-09-18,5.16%
2020-09-21,-1.19%
2020-09-22,-1.06%
2020-09-23,-0.70%
2020-09-24,-1.35%
2020-09-25,1.21%
2020-09-28,0.14%
2020-09-29,-0.32%
2020-09-30,-0.98%
2020-10-09,1.72%
2020-10-12,3.71%
2020-10-13,-0.51%
2020-10-14,-0.84%
2020-10-15,-0.03%
2020-10-16,0.66%
2020-10-19,-0.64%
2020-10-20,-0.14%
2020-10-21,0.33%
2020-10-22,0.10%
2020-10-23,-0.52%
2020-10-26,-2.67%
2020-10-27,-0.42%
2020-10-28,-0.26%
2020-10-29,-0.04%
2020-10-30,-2.40%
2020-11-02,-1.00%
2020-11-03,2.50%
2020-11-04,-0.55%
2020-11-05,1.58%
2020-11-06,0.21%
2020-11-09,3.19%
2020-11-10,-0.80%
2020-11-11,-1.25%
2020-11-12,-0.95%
2020-11-13,-1.71%
2020-11-16,1.81%
2020-11-17,0.46%
2020-11-18,0.94%
2020-11-19,0.29%
2020-11-20,-0.52%
2020-11-23,1.80%
2020-11-24,-1.12%
2020-11-25,0.22%
2020-11-26,1.14%
2020-11-27,1.67%
2020-11-30,0.29%
2020-12-01,3.42%
2020-12-02,-0.42%
2020-12-03,-0.31%
2020-12-04,-0.91%
2020-12-07,-1.75%
2020-12-08,-0.78%
2020-12-09,-1.82%
2020-12-10,-0.30%
2020-12-11,-1.55%
2020-12-14,0.61%
2020-12-15,-0.59%
2020-12-16,-0.16%
2020-12-17,2.43%
2020-12-18,-1.24%
2020-12-21,0.22%
2020-12-22,-3.93%
2020-12-23,0.74%
2020-12-24,-0.80%
2020-12-25,0.02%
2020-12-28,0.40%
2020-12-29,0.62%
2020-12-30,1.19%
2020-12-31,3.24%
