t,rhouse
2020-08-04,1.23%
2020-08-05,-1.94%
2020-08-06,0.29%
2020-08-07,-1.17%
2020-08-10,3.03%
2020-08-11,-0.51%
2020-08-12,1.83%
2020-08-13,-0.17%
2020-08-14,0.73%
2020-08-17,1.88%
2020-08-18,-1.50%
2020-08-19,-1.34%
2020-08-20,-0.28%
2020-08-21,-0.04%
2020-08-24,-0.70%
2020-08-25,-0.06%
2020-08-26,-0.66%
2020-08-27,-1.22%
2020-08-28,1.73%
2020-08-31,-1.39%
2020-09-01,-0.25%
2020-09-02,0.51%
2020-09-03,0.15%
2020-09-04,0.29%
2020-09-07,0.21%
2020-09-08,-0.07%
2020-09-09,-1.23%
2020-09-10,1.54%
2020-09-11,-1.23%
2020-09-14,-0.62%
2020-09-15,0.83%
2020-09-16,1.00%
2020-09-17,-0.82%
2020-09-18,3.66%
2020-09-21,-0.73%
2020-09-22,-0.96%
2020-09-23,-1.03%
2020-09-24,-1.87%
2020-09-25,-2.24%
2020-09-28,1.62%
2020-09-29,-0.55%
2020-09-30,-0.86%
2020-10-09,0.39%
2020-10-12,1.96%
2020-10-13,-0.97%
2020-10-14,-1.22%
2020-10-15,-0.20%
2020-10-16,0.48%
2020-10-19,-0.05%
2020-10-20,-0.83%
2020-10-21,0.27%
2020-10-22,0.47%
2020-10-23,0.03%
2020-10-26,-0.53%
2020-10-27,-1.69%
2020-10-28,-1.47%
2020-10-29,0.51%
2020-10-30,-1.38%
2020-11-02,0.47%
2020-11-03,0.83%
2020-11-04,0.06%
2020-11-05,2.98%
2020-11-06,0.73%
2020-11-09,0.39%
2020-11-10,-0.39%
2020-11-11,1.37%
2020-11-12,-0.83%
2020-11-13,-2.28%
2020-11-16,1.03%
2020-11-17,2.89%
2020-11-18,1.35%
2020-11-19,0.38%
2020-11-20,-0.64%
2020-11-23,0.48%
2020-11-24,-0.82%
2020-11-25,-0.19%
2020-11-26,0.08%
2020-11-27,2.09%
2020-11-30,-1.18%
2020-12-01,0.13%
2020-12-02,0.96%
2020-12-03,-0.78%
2020-12-04,-2.04%
2020-12-07,-2.00%
2020-12-08,-0.57%
2020-12-09,-1.36%
2020-12-10,-0.16%
2020-12-11,-1.13%
2020-12-14,1.24%
2020-12-15,-1.05%
2020-12-16,-0.01%
2020-12-17,0.67%
2020-12-18,-0.89%
2020-12-21,-0.98%
2020-12-22,-0.63%
2020-12-23,-0.90%
2020-12-24,-0.72%
2020-12-25,0.35%
2020-12-28,0.03%
2020-12-29,1.06%
2020-12-30,-0.79%
2020-12-31,1.62%
