t,rhouse
2017-03-16,-0.18%
2017-03-17,-0.94%
2017-03-20,-1.45%
2017-03-21,0.56%
2017-03-22,-1.15%
2017-03-23,0.54%
2017-03-24,0.30%
2017-03-27,-0.52%
2017-03-28,0.02%
2017-03-29,-0.73%
2017-03-30,-1.08%
2017-03-31,-0.20%
2017-04-05,1.63%
2017-04-06,0.66%
2017-04-07,0.69%
2017-04-10,1.73%
2017-04-11,2.18%
2017-04-12,0.80%
2017-04-13,0.03%
2017-04-14,-1.40%
2017-04-17,-1.76%
2017-04-18,-0.78%
2017-04-19,-0.31%
2017-04-20,-0.30%
2017-04-21,-0.03%
2017-04-24,-1.02%
2017-04-25,-0.06%
2017-04-26,0.00%
2017-04-27,-2.34%
2017-04-28,0.06%
2017-05-02,-1.07%
2017-05-03,-1.15%
2017-05-04,0.18%
2017-05-05,-0.77%
2017-05-08,-2.10%
2017-05-09,0.34%
2017-05-10,-1.09%
2017-05-11,1.44%
2017-05-12,0.42%
2017-05-15,0.32%
2017-05-16,0.61%
2017-05-17,-0.31%
2017-05-18,0.37%
2017-05-19,0.11%
2017-05-22,-0.85%
2017-05-23,0.41%
2017-05-24,0.02%
2017-05-25,3.89%
2017-05-26,-0.36%
2017-05-31,2.12%
2017-06-01,0.27%
2017-06-02,-0.04%
2017-06-05,-0.54%
2017-06-06,0.63%
2017-06-07,0.64%
2017-06-08,0.07%
2017-06-09,-0.27%
2017-06-12,0.47%
2017-06-13,0.37%
2017-06-14,-2.62%
2017-06-15,-0.18%
2017-06-16,-0.53%
2017-06-19,0.66%
2017-06-20,-0.20%
2017-06-21,1.12%
2017-06-22,0.44%
2017-06-23,3.96%
2017-06-26,4.46%
2017-06-27,-1.17%
2017-06-28,-1.57%
2017-06-29,0.02%
2017-06-30,-0.68%
2017-07-03,-0.02%
2017-07-04,-2.23%
2017-07-05,1.33%
2017-07-06,-0.90%
2017-07-07,1.51%
2017-07-10,-0.03%
2017-07-11,0.26%
2017-07-12,0.92%
2017-07-13,-1.25%
2017-07-14,0.91%
2017-07-17,-2.19%
2017-07-18,1.74%
2017-07-19,0.40%
2017-07-20,1.90%
2017-07-21,-1.37%
2017-07-24,-1.49%
2017-07-25,-1.83%
2017-07-26,-0.21%
2017-07-27,0.42%
2017-07-28,0.87%
2017-07-31,-0.42%
2017-08-01,0.81%
2017-08-02,-1.45%
2017-08-03,-0.89%
2017-08-04,-0.93%
2017-08-07,0.00%
2017-08-08,0.15%
2017-08-09,0.37%
2017-08-10,-0.55%
2017-08-11,-2.48%
2017-08-14,0.53%
2017-08-15,0.14%
2017-08-16,-0.14%
2017-08-17,0.37%
2017-08-18,2.08%
2017-08-21,0.01%
2017-08-22,0.66%
2017-08-23,-0.34%
2017-08-24,-0.64%
2017-08-25,0.93%
2017-08-28,1.55%
2017-08-29,-1.08%
2017-08-30,0.20%
2017-08-31,-0.57%
2017-09-01,-0.79%
2017-09-04,-0.11%
2017-09-05,1.63%
2017-09-06,-0.02%
2017-09-07,4.36%
2017-09-08,-0.07%
2017-09-11,-0.95%
2017-09-12,-0.74%
2017-09-13,0.86%
2017-09-14,3.94%
2017-09-15,3.00%
2017-09-18,-1.49%
2017-09-19,1.70%
2017-09-20,-0.62%
2017-09-21,-1.34%
2017-09-22,-0.69%
2017-09-25,-5.27%
2017-09-26,0.95%
2017-09-27,0.45%
2017-09-28,-1.81%
2017-09-29,-0.28%
2017-10-09,1.03%
2017-10-10,-0.10%
2017-10-11,0.16%
2017-10-12,-0.09%
2017-10-13,-0.12%
2017-10-16,-1.32%
2017-10-17,-0.13%
2017-10-18,0.28%
2017-10-19,-0.87%
2017-10-20,0.99%
2017-10-23,-0.14%
2017-10-24,2.51%
2017-10-25,0.75%
2017-10-26,-0.45%
2017-10-27,-0.23%
2017-10-30,1.64%
2017-10-31,0.36%
2017-11-01,0.27%
2017-11-02,0.22%
2017-11-03,-2.21%
2017-11-06,-1.68%
2017-11-07,0.85%
2017-11-08,-0.12%
2017-11-09,0.45%
2017-11-10,-0.91%
2017-11-13,-0.58%
2017-11-14,2.21%
2017-11-15,0.35%
2017-11-16,1.96%
2017-11-17,0.48%
2017-11-20,-0.18%
2017-11-21,4.82%
2017-11-22,1.01%
2017-11-23,-2.56%
2017-11-24,0.94%
2017-11-27,-0.57%
2017-11-28,-1.65%
2017-11-29,6.73%
2017-11-30,-4.35%
2017-12-01,-0.18%
2017-12-04,-0.15%
2017-12-05,0.36%
2017-12-06,-0.66%
2017-12-07,-0.80%
2017-12-08,-0.16%
2017-12-11,0.54%
2017-12-12,-0.68%
2017-12-13,0.31%
2017-12-14,-0.24%
2017-12-15,-2.28%
2017-12-18,-0.82%
2017-12-19,1.48%
2017-12-20,-1.33%
2017-12-21,3.09%
2017-12-22,-0.05%
2017-12-25,1.87%
2017-12-26,0.75%
2017-12-27,-0.39%
2017-12-28,-0.09%
2017-12-29,1.66%
2018-01-02,3.73%
2018-01-03,0.50%
2018-01-04,1.15%
2018-01-05,4.08%
2018-01-08,3.28%
2018-01-09,0.18%
2018-01-10,0.14%
2018-01-11,-0.40%
2018-01-12,0.31%
2018-01-15,2.10%
2018-01-16,7.19%
2018-01-17,-0.86%
2018-01-18,-1.14%
2018-01-19,-0.73%
2018-01-22,0.80%
2018-01-23,3.18%
2018-01-24,-0.32%
2018-01-25,-1.78%
2018-01-26,1.25%
2018-01-29,-1.21%
2018-01-30,-4.06%
2018-01-31,2.79%
2018-02-01,-0.15%
2018-02-02,0.62%
2018-02-05,0.30%
2018-02-06,-4.80%
2018-02-07,-7.87%
2018-02-08,-1.52%
2018-02-09,-6.61%
2018-02-12,2.00%
2018-02-13,2.72%
2018-02-14,0.76%
2018-02-22,1.75%
2018-02-23,1.95%
2018-02-26,-1.61%
2018-02-27,-3.21%
2018-02-28,0.26%
2018-03-01,-0.48%
2018-03-02,-0.05%
2018-03-05,0.32%
2018-03-06,4.18%
2018-03-07,-1.61%
2018-03-08,1.44%
2018-03-09,-0.55%
2018-03-12,-3.04%
2018-03-13,-0.30%
2018-03-14,0.39%
2018-03-15,0.01%
2018-03-16,0.37%
2018-03-19,-2.46%
2018-03-20,-0.58%
2018-03-21,0.54%
2018-03-22,-1.86%
2018-03-23,-2.08%
2018-03-26,-1.80%
2018-03-27,1.29%
2018-03-28,-0.04%
2018-03-29,5.29%
2018-03-30,-1.68%
2018-04-02,0.32%
2018-04-03,-0.80%
2018-04-04,-0.67%
2018-04-09,-1.65%
2018-04-10,3.03%
2018-04-11,1.51%
2018-04-12,-1.27%
2018-04-13,-0.90%
2018-04-16,-4.36%
2018-04-17,-1.07%
2018-04-18,0.65%
2018-04-19,0.66%
2018-04-20,-1.02%
2018-04-23,-0.15%
2018-04-24,3.10%
2018-04-25,-1.50%
2018-04-26,-2.40%
2018-04-27,-0.76%
2018-05-02,-0.40%
2018-05-03,-0.26%
2018-05-04,-0.25%
2018-05-07,1.81%
2018-05-08,2.45%
2018-05-09,-0.95%
2018-05-10,0.32%
2018-05-11,-0.99%
2018-05-14,0.06%
2018-05-15,0.39%
2018-05-16,-1.04%
2018-05-17,-0.60%
2018-05-18,1.04%
2018-05-21,-0.61%
2018-05-22,-1.98%
2018-05-23,-1.32%
2018-05-24,-0.67%
2018-05-25,-0.36%
2018-05-28,-0.58%
2018-05-29,-1.87%
2018-05-30,-3.11%
2018-05-31,2.31%
2018-06-01,0.92%
2018-06-04,3.43%
2018-06-05,0.50%
2018-06-06,-1.11%
2018-06-07,2.05%
2018-06-08,-2.56%
2018-06-11,2.05%
2018-06-12,0.69%
2018-06-13,0.29%
2018-06-14,-0.63%
2018-06-15,1.66%
2018-06-19,-3.76%
2018-06-20,1.90%
2018-06-21,0.74%
2018-06-22,1.02%
2018-06-25,-4.99%
2018-06-26,-4.44%
2018-06-27,-4.08%
2018-06-28,-1.52%
2018-06-29,3.43%
2018-07-02,-6.79%
2018-07-03,1.15%
2018-07-04,-2.28%
2018-07-05,-0.64%
2018-07-06,-0.14%
2018-07-09,3.25%
2018-07-10,1.50%
2018-07-11,-2.75%
2018-07-12,1.51%
2018-07-13,-0.32%
2018-07-16,-2.27%
2018-07-17,-0.20%
2018-07-18,-2.12%
2018-07-19,0.04%
2018-07-20,1.95%
2018-07-23,3.04%
2018-07-24,2.63%
2018-07-25,-0.14%
2018-07-26,-1.44%
2018-07-27,-0.46%
2018-07-30,-0.12%
2018-07-31,1.57%
2018-08-01,-4.62%
2018-08-02,-3.48%
2018-08-03,-1.80%
2018-08-06,-2.23%
2018-08-07,3.74%
2018-08-08,-1.61%
2018-08-09,3.82%
2018-08-10,1.91%
2018-08-13,-1.14%
